vendor,legal_name,entities,category,federal_tax_classification,tax_address_on_file,contacts,active,spend_all_time,spend_365d,ramp_vendor_uuids
Exxon,,FL|TN|TX,Fuel and Gas,,,0,yes,4346.15,4346.15,f8484b90-ad45-4859-977a-2bc95fe58cee|ecea6933-83ac-46b4-956f-2a4445e31b12|2b2a19df-3936-450f-ba4d-4e70843d43f2
"Bonita Pharmaceuticals, LLC - Autopay",,TN,General Merchandise,,YES,1,yes,4325.23,4325.23,8cc09727-32ac-4d78-a61b-67a5274ea77b
Delta Air Lines,,FL|TN,Airlines,,,0,yes,4289.44,4289.44,8573c56a-4644-4388-872c-696f1889eea9|67c79c51-1447-49a6-954e-6e1fac1a5e1c
Brio Italian Grille,,FL,Restaurants,,,0,yes,4276.45,4276.45,e99ac5e9-bf33-4116-b6bf-38a287dee441
Google Workspace,,FL,SaaS / Software,,,1,yes,4186.49,4186.49,e7a761d2-fe9d-4ff6-9a7f-dccbeb8d7ea4
Coastal Mechanical Solutions,Bryan Cooper,FL,Other,INDIVIDUAL_SOLE_PROPRIETOR_SINGLE_MEMBER_LLC,YES,1,yes,4185.40,4185.40,c477f739-37de-4303-a2f6-f0d80ee286e2
Brown and Brown Insurance,,FL,Insurance,,,1,yes,4100.17,4100.17,c245d0e6-6168-4fcb-b277-1ea767a7ac58
Pure Dermatology,,FL,Clubs and memberships,,,0,yes,4000.00,4000.00,eba36d61-7f76-4372-9d4b-063eb5554532
ADP Workforce,,FL,Professional Services,,,1,yes,3854.08,3854.08,54b4e4d1-8519-4156-b9fb-d93dd97f72fe
Amazon Web Services,,TN,Cloud Computing,,,0,yes,3849.84,3849.84,3596c123-3f76-487c-9dfd-12cb84010e3e
Paksouth Charleston LLC,"PakSouth Charleston, LLC",FL,Professional Services,LLC_S_CORPORATION,YES,1,yes,3840.00,3840.00,af3645e0-cd4a-4f16-a2a6-74025f17b88a
Marriott,,FL|TN|TX,Lodging,,,0,yes,3824.28,3824.28,9a864785-9373-49f4-a3f6-3e0379439dfa|31319f76-fce5-4177-9cf9-fd8a7d6dc538|21bca8f7-f004-4966-8037-6620abe348da
Primed Pharmaceuticals LLC,,TN,Medical,,,1,yes,3729.79,3729.79,95848c8c-856f-4f43-b705-723d1dfbcd1b
"HALO Branded Solutions, Inc","HALO Branded Solutions, Inc.",FL,Advertising,C_CORPORATION,YES,1,yes,3718.43,3718.43,83466661-93db-4ebd-ac0e-e27540700b95
Supply Partners,SUPPLY PARTNERS LLC,TN,General Merchandise,LLC_S_CORPORATION,YES,1,yes,3609.24,3609.24,14f2fb2e-58bd-4bd7-a766-fa288384f7b5
South Pointe Wholesale,,FL|TN|TX,General Merchandise,,,0,yes,3564.56,3564.56,baf36ece-8559-4807-aa4a-aeeed83d85a5|57792d14-5afe-4d43-8e9b-24b750181aad|7aa29c03-6500-42d5-a9b0-003ad0609cf1
First Orion Corp,,FL,SaaS / Software,,,1,yes,3518.92,3518.92,8d375e33-37dd-4863-9988-c4cb8cf8fd38
ALTOUR International,,FL,Travel Misc,,,0,yes,3500.00,3500.00,f00da58b-b34e-40a2-9b47-546bde8f3a4c
Anne Arundel Dermatology,Anne Arundel Dermatology,FL,Other,OTHER,YES,2,yes,3500.00,3500.00,71fd75ec-4f0e-497a-a976-a5fb29e469ca
Protouch Staffing,,FL|TX,Office,,,0,yes,3324.02,3324.02,fca2b02c-2b31-4a55-88ea-73dcbb66849b|c3f248bd-50d9-4e5e-8ae3-5e7a80b8c135
7-Eleven,,FL|TN|TX,Fuel and Gas,,,0,yes,3303.77,3303.77,4821ff73-b11e-40ad-a4f1-86837bd319e9|d3d42388-e545-4b57-b6ae-53feca1e5843|94cd0ce2-654c-4771-8e9d-39d990d20b08
Home 2 Suites by Hilton,,FL|TN|TX,Lodging,,,0,yes,3287.28,3287.28,c3b1de87-d1a2-4060-8cb0-436c916ef0a7|893f6eff-454c-4a85-af85-6d2f9fa6695f|ae09aba3-0ccd-4084-985c-a66d2b4e90ee
